SHG_ACCOUNT_NAME|A|51,129,1039,49|1|?
NAME1|A|81,561,632,81|1|?
CUST_ID1|N|710,558,354,78|1|?
DESIGNATION1|A|1057,551,302,85|1|?
COMPANY_SHARE1|N|1356,554,240,82|1|?
SIGN1|S|1599,554,678,78|1|?
NAME2|A|84,642,629,71|1|?
CUST_ID2|N|710,636,354,74|1|?
DESIGNATION2|A|1057,632,305,81|1|?
COMPANY_SHARE2|N|1356,632,240,75|1|?
SIGN2|S|1599,636,675,77|1|?
NAME3|A|84,713,629,65|1|?
CUST_ID3|N|713,710,347,62|1|?
DESIGNATION3|A|1064,710,292,65|1|?
COMPANY_SHARE3|N|1352,707,244,65|1|?
SIGN3|S|1599,704,681,65|1|?
NAME4|A|87,778,630,72|1|?
CUST_ID4|N|713,775,347,71|1|?
DESIGNATION4|A|1054,778,302,75|1|?
COMPANY_SHARE4|N|1349,769,244,74|1|?
SIGN4|S|1593,765,684,88|1|?
NAME5|A|81,850,636,84|1|?
CUST_ID5|N|707,850,347,78|1|?
DESIGNATION5|A|1060,846,299,78|1|?
COMPANY_SHARE5|N|1362,846,237,82|1|?
SIGN5|S|1599,850,681,81|1|?
NOMINEE_REQ_STATUS|C|1920,937,62,65-2212,941,59,71|1|Whether Required?Not Required?
NOMINEE_DISPLAYED_PASSBOOK|C|762,1002,58,55-875,1002,52,46|1|Yes?No?
NOMINEE_DECLARE|C|35,1113,81,58|1|?
PROPOSER_NAME|A|191,1103,2083,68|1|?
NOMINEE_BRANCH|A|467,1220,1291,61|1|?
NOMINEE_NAME|A|275,1291,1438,65|1|?
NOMINEE_DOB|N|521,1364,228,70-404,1361,114,70-279,1362,120,75|1|?
NOMINEE_RELATION|A|1129,1362,580,59|1|?
NOMINEE_MINOR_GUARDIAN_NAME|A|1223,1424,1054,59|1|?
NOMINEE_MINOR_GUARDIAN_AGE|N|100,1489,149,58|1|?
NOMINEE_MINOR_GUARDIAN_ADDRESS|AN|25,1492,2265,98|1|?
NOMINEE_DECLARE_STATUS|C|35,1706,81,72|1|?
PROFILE_NAME_ORG|A|729,2310,1405,68|1|?
PROFILE_OWNERSHIP|C|944,2398,68,55-1294,2394,68,56-1573,2394,71,52-1833,2398,64,48|1|Proprietor?Partner?Director?Others?
PROFILE_BUSINESS_ACTIVITY|C|729,2459,1412,68|1|?
PROFILE_LOC_BUSINESS|C|940,2544,65,45-1304,2540,58,46-1573,2537,68,46|1|Non risk areas?Risk areas?Both?
ANUAL_BUSINESS_TURNOVER|N|733,2599,460,71|1|?
THRESHOLD_LIMIT|N|733,2686,454,69|1|?
PURPOSE_OPENING|A|726,2764,1415,75|1|?
RISK_CLASSIFICATION|C|859,2940,75,58-1167,2933,75,62-1447,2933,81,62|1|LOW?MEDIUM?HIGH?
ACCOUNT_AUTH_SIGN|S|1657,3099,591,133|1|?
